File Format	API FileType	Data Modality	Subtype	Extensions	Icon	SVG	Viewer Type	Group Logic	Package Type	Notes
XML	XML	Meta-data		.xml	XML (Code)	icon-code.svg	NA	Single file
YAML	YAML	SourceCode	YAML		Code	icon-code.svg	NA
ZIP	ZIP	Aggregate		.zip, .tar, .tar.gz	Zip	icon-zip.svg	NA	Single file
CSV	CSV	Tabular		.csv	Tabular	icon-tabular.svg	Tabular	Single file
Excel	MSExcel	Tabular		.xls, .xlsx	Excel	icon-excel.svg	Tabular	Single file
FASTQ	FASTQ	Genomics	Tabular	.fastq	Genomics	icon-genomics.svg	Tabular	Single file
FASTA	FASTA	Genomics	Tabular	.fasta	Genomics	icon-genomics.svg	Tabular	Single file
TSV	TSV	Tabular		.tsv	Tabular	icon-tabular.svg	Tabular	Single file
Variant Data	VariantData	Genomics	Tabular	.vcf	Genomics Variant	icon-genomics.svg	Tabular	Single file
Apache Feather	Feather	Timeseries		.feather	Timeseries	icon-timeseries.svg	Time Series	Single file
BIODAC	BIODAC	Timeseries		.tab	Timeseries	icon-timeseries.svg	Time Series	Single file
BioPAC	BioPAC	Timeseries		.acq	Timeseries	icon-timeseries.svg	Time Series	Single file
Blackfynn	BFTS	Timeseries		.bfts	Timeseries	icon-timeseries.svg	Time Series	Single file
EDF	EDF	TImeseries		.edf	Timeseries	icon-timeseries.svg	Time Series	Goup and append files with same name prefix '_'
Intan	Intan	Timeseries		.rhd, .dat	Timeseries	icon-timeseries.svg	Time Series	Group and append files based on folder structure
IV Curve Data	IVCurveData	Timeseries		.ibw	Timeseries	icon-timeseries.svg	Time Series	SIngle file
LabChart	LabChart	Timeseries		.adicht, adidat	Timeseries	icon-timeseries.svg	Time Series	Single file
MEF	MEF	TImeseries		.mef	Timeseries	icon-timeseries.svg	Time Series	Group files with same extension
Moberg	MobergSeries	Timeseries		.settings, .index, .data	Timeseries	icon-timeseries.svg	Time Series	Group any combination of file with same name
Neuralynx	Neuralynx			.ncs, 	Timeseries	icon-timeseries.svg	Time Series
NeuroExplorer	NeuroExplorer	Timeseries		.nex, .nex5	Timeseries	icon-timeseries.svg	Time Series	Single file
NEV	NEV	Timeseries		.nev, .ns2, .ns3, .ns4, .ns5, .nf2, .nf3, .nf4, .nf5	Timeseries	icon-timeseries.svg	Time Series	If any combination of files with same name		I believe .nev + any(.ns*) file
Nicolet	Nicolet	Timeseries		.e 	Timeseries	icon-timeseries.svg	Time Series	Group and append files based on name prefix '_'
Nihon Koden	NihonKoden	Timeseries			Timeseries	icon-timeseries.svg	Time Series	Single file
OpenEphys	OpenEphys	Timeseries		.continuous, .spike, .events	Timeseries	icon-timeseries.svg	Time Series	Group any combination of file with same name
PatchMaster	PatchMaster	Timeseries		.dat, .pgf, .pul	Timeseries	icon-timeseries.svg	Time Series	Group if all files are present
pClamp	PClamp	Timeseries		.abf	Timeseries	icon-timeseries.svg	Time Series	Single file
Persyst	Persyst	Timeseries		.dat + .lay	Timeseries	icon-timeseries.svg	Time Series	If both .dat and .lay file with same name exist
Plexon	Plexon				Timeseries	icon-timeseries.svg	Time Series
Spike2	Spike2	Timeseries		.smr	Timeseries	icon-timeseries.svg	Time Series	Single file
TDMS	TDMS	Timeseries		.tdm, .tdms	TImeseries	icon-timeseries.svg	Time Series	Single file
Video	MP4, AVI, WEBM, MOV, OGG, MPEG	Video		.mp4, .avi, .webm, .mov, .ogg, .mpeg	Video	icon-video.svg	Video	Single file





3i SlideBook		Image	NDStack	.sld	Microscope	icon-microscope.svg	Image	Single file
Andor Bio-Imaging Division (ABD) TIFF		Image	NDStack	.tif	Microscope	icon-microscope.svg	Image	Single file
AIM		Image	NDStack	.aim	Microscope	icon-microscope.svg	Image	Single file
Alicona 3D		Image	NDStack	.al3d	Microscope	icon-microscope.svg	Image	Single file
Amersham Biosciences Gel		Image	NDStack	.gel	Microscope	icon-microscope.svg	Image	Single file
Amira Mesh		Image	NDStack	.am, .amiramesh, .grey, .hx, .labels	Microscope	icon-microscope.svg	Image
Amnis FlowSight		Image	NDStack	.cif	Microscope	icon-microscope.svg	Image	Single file
Andor SIF		Image	NDStack	.sif	Microscope	icon-microscope.svg	Image	Single file
Animated PNG		Image	NDStack	.png	Microscope	icon-microscope.svg	Image	Single file
Aperio AFI		Image	NDStack	.afi, .svs	Microscope	icon-microscope.svg	Image	Single file
Aperio SVS TIFF		Image	NDStack	.svs	Microscope	icon-microscope.svg	Image	Single file
Applied Precision CellWorX		Image	NDStack	.htd, .pnl	Microscope	icon-microscope.svg	Image
AVI (Audio Video Interleave)		Image	NDStack	.avi	Microscope	icon-microscope.svg	Image	Single file
Axon Raw Format		Image	NDStack	.arf	Microscope	icon-microscope.svg	Image	Single file
BD Pathway		Image	NDStack	.exp, .tif	Microscope	icon-microscope.svg	Image
Becker & Hickl SPC FIFO		Image	NDStack	.spc	Microscope	icon-microscope.svg	Image	Single file
Becker & Hickl SPCImage		Image	NDStack	.sdt	Microscope	icon-microscope.svg	Image	Single file
Bio-Rad Gel		Image	NDStack	.1sc	Microscope	icon-microscope.svg	Image	Single file
Bio-Rad PIC		Image	NDStack	.pic, .raw, .xml	Microscope	icon-microscope.svg	Image
Bio-Rad SCN		Image	NDStack	.scn	Microscope	icon-microscope.svg	Image	Single file
Bitplane Imaris		Image	NDStack	.ims	Microscope	icon-microscope.svg	Image	Single file
Burleigh		Image	NDStack	.img	Microscope	icon-microscope.svg	Image	Single file
Canon DNG		Image	NDStack	.cr2, .crw	Microscope	icon-microscope.svg	Image
CellH5		Image	NDStack	.ch5	Microscope	icon-microscope.svg	Image	Single file
Cellomics		Image	NDStack	.c01, .dib	Microscope	icon-microscope.svg	Image
cellSens VSI		Image	NDStack	.vsi	Microscope	icon-microscope.svg	Image	Single file
CellVoyager		Image	NDStack	.xml, .tif	Microscope	icon-microscope.svg	Image
DeltaVision		Image	NDStack	.dv, .r3d	Microscope	icon-microscope.svg	Image
ECAT7		Image	NDStack	.v	Microscope	icon-microscope.svg	Image	Single file
EPS (Encapsulated PostScript)		Image	NDStack	.eps, .epsi, .ps	Microscope	icon-microscope.svg	Image
Evotec/PerkinElmer Opera Flex		Image	NDStack	.flex, .mea, .res	Microscope	icon-microscope.svg	Image
FEI		Image	NDStack	.img	Microscope	icon-microscope.svg	Image	Single file
FEI TIFF		Image	NDStack	.tiff	Microscope	icon-microscope.svg	Image	Single file
FITS (Flexible Image Transport System)		Image	NDStack	.fits	Microscope	icon-microscope.svg	Image	Single file
Gatan Digital Micrograph		Image	NDStack	.dm3, .dm4	Microscope	icon-microscope.svg	Image
Gatan Digital Micrograph 2		Image	NDStack	.dm2	Microscope	icon-microscope.svg	Image	Single file
Hamamatsu Aquacosmos NAF		Image	NDStack	.naf	Microscope	icon-microscope.svg	Image	Single file
Hamamatsu HIS		Image	NDStack	.his	Microscope	icon-microscope.svg	Image	Single file
Hamamatsu ndpi		Image	NDStack	.ndpi, .ndpis	Microscope	icon-microscope.svg	Image
Hamamatsu VMS		Image	NDStack	.vms	Microscope	icon-microscope.svg	Image	Single file
Hitachi S-4800		Image	NDStack	.txt, .tif, .bmp, .jpg	Microscope	icon-microscope.svg	Image
I2I		Image	NDStack	.i2i	Microscope	icon-microscope.svg	Image	Single file
ICS (Image Cytometry Standard)		Image	NDStack	.ics, .ids	Microscope	icon-microscope.svg	Image	Group together (header: ics, image: ids)
Imacon		Image	NDStack	.fff	Microscope	icon-microscope.svg	Image	Single file
ImagePro Sequence		Image	NDStack	.seq	Microscope	icon-microscope.svg	Image	Single file
ImagePro Workspace		Image	NDStack	.ipw	Microscope	icon-microscope.svg	Image	Single file
IMAGIC		Image	NDStack	.hed, .img	Microscope	icon-microscope.svg	Image
IMOD		Image	NDStack	.mod	Microscope	icon-microscope.svg	Image	Single file
Improvision Openlab LIFF		Image	NDStack	.liff	Microscope	icon-microscope.svg	Image	Single file
Improvision Openlab Raw		Image	NDStack	.raw	Microscope	icon-microscope.svg	Image	Single file
Improvision TIFF		Image	NDStack	.tif	Microscope	icon-microscope.svg	Image	Single file
Imspector OBF		Image	NDStack	.obf, .msr	Microscope	icon-microscope.svg	Image
InCell 1000/2000		Image	NDStack	.xdce, .tif	Microscope	icon-microscope.svg	Image
InCell 3000		Image	NDStack	.frm	Microscope	icon-microscope.svg	Image	Single file
INR		Image	NDStack	.inr	Microscope	icon-microscope.svg	Image	Single file
Inveon		Image	NDStack	.hdr	Microscope	icon-microscope.svg	Image	Single file
IPLab		Image	NDStack	.ipl	Microscope	icon-microscope.svg	Image	Single file
IVision		Image	NDStack	.ipm	Microscope	icon-microscope.svg	Image	Single file
JEOL		Image	NDStack	.dat, .img, .par	Microscope	icon-microscope.svg	Image
JPK		Image	NDStack	.jpk	Microscope	icon-microscope.svg	Image	Single file
JPX		Image	NDStack	.jpx	Microscope	icon-microscope.svg	Image	Single file
Khoros VIFF (Visualization Image File Format) Bitmap		Image	NDStack	.xv	Microscope	icon-microscope.svg	Image	Single file
Kodak BIP		Image	NDStack	.bip	Microscope	icon-microscope.svg	Image	Single file
Lambert Instruments FLIM		Image	NDStack	.fli	Microscope	icon-microscope.svg	Image	Single file
LaVision Imspector		Image	NDStack	.msr	Microscope	icon-microscope.svg	Image	Single file
